title,author,publisher,publish_date,price
니체의 초월자,프리드리히 니체,히읏,2025년 10월,"15,210원"
ETS 토익 단기공략 750+ (LC+RC),ETS,YBM(와이비엠),2025년 07월,"17,550원"
프로젝트 헤일메리 (영화 특별판),앤디 위어,알에이치코리아(RHK),2026년 02월,"19,800원"
여덟 단어,박웅현,인티앤,2023년 06월,"15,300원"
데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019년 10월,"10,350원"
브람스를 좋아하세요...,프랑수아즈 사강,민음사,2008년 05월,"9,000원"
긴긴밤,루리,문학동네,2021년 02월,"11,250원"
블루 아카이브 공식 4컷 청춘? 일상! 블루 아카이브 특별판,돈미니,디앤씨미디어(D&C미디어),2026년 02월,"47,700원"
2026 문동균 한국사 D-30 문단속 모의고사,문동균,에스티유니타스,2026년 02월,"14,400원"
인생을 위한 최소한의 생각,신영준,상상스퀘어,2026년 02월,"17,820원"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021년 06월,"12,600원"
이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,2026년 02월,"21,600원"
세이노의 가르침,세이노(SayNo),데이원,2023년 03월,"6,480원"
단다단 19,타츠 유키노부,대원,2026년 02월,"5,400원"
우리는 언제나 다시 만나,윤여림,위즈덤하우스,2017년 07월,"10,800원"
