차량명,연식,주행거리_km,연료,지역,가격_만원,상세링크_후보,raw_text
YF 쏘나타 CVVL 럭셔리,12/04식,105294,가솔린,인천,430,,"YF 쏘나타 CVVL 럭셔리 12/04식 105,294 km 가솔린 인천 430 만원 검정색 계열"
찜하기 *[급매][방송출연우수딜러][가성비극강][차량상태최상급]* YF 쏘나타 Y20 프라임 블랙,10/10식(11년형),113663,가솔린,서울,399,https://fem.encar.com/cars/detail/41509017?advClickPosition=mweb_mopre_g5_t0&listAdvType=mpremium&type=detail&view_type=checked,"찜하기 *[급매][방송출연우수딜러][가성비극강][차량상태최상급]* YF 쏘나타 Y20 프라임 블랙 10/10식(11년형) 113,663 km 가솔린 서울 399 만원 검정색 계열"
YF 쏘나타 Y20 프라임 블랙,10/10식(11년형),113663,가솔린,서울,399,,"YF 쏘나타 Y20 프라임 블랙 10/10식(11년형) 113,663 km 가솔린 서울 399 만원 검정색 계열"
찜하기 엔카 실촬영 YF 쏘나타 Y20 프라임,10/09식(11년형),117226,가솔린,경기,330,https://fem.encar.com/cars/detail/41225357?advClickPosition=mweb_mopre_g6_t0&listAdvType=mpremium&type=detail&view_type=normal,"찜하기 엔카 실촬영 YF 쏘나타 Y20 프라임 10/09식(11년형) 117,226 km 가솔린 경기 330 만원 검정색 계열"
YF 쏘나타 Y20 프라임,10/09식(11년형),117226,가솔린,경기,330,,"YF 쏘나타 Y20 프라임 10/09식(11년형) 117,226 km 가솔린 경기 330 만원 검정색 계열"
찜하기 가성비 끝판왕 !! YF 쏘나타 Y20 프라임 고급형,10/05식,136187,가솔린,서울,430,https://fem.encar.com/cars/detail/40955073?advClickPosition=mweb_mopre_g7_t0&listAdvType=mpremium&type=detail&view_type=normal,"찜하기 가성비 끝판왕 !! YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 회색 계열"
YF 쏘나타 Y20 프라임 고급형,10/05식,136187,가솔린,서울,430,,"YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 회색 계열"
모바일 우대 찜하기 YF 쏘나타 Y20 럭셔리,12/01식,98009,가솔린,서울,420,https://fem.encar.com/cars/detail/41265617?advClickPosition=mweb_mowoo_g1_t0&listAdvType=mowoo&type=detail&view_type=normal | https://fem.encar.com/cars/detail/41310694?advClickPosition=mweb_mowoo_g2_t0&listAdvType=mowoo&type=detail&view_type=normal | https://fem.encar.com/cars/detail/40955073?advClickPosition=mweb_mowoo_g3_t0&listAdvType=mowoo&type=detail&view_type=normal,"모바일 우대 찜하기 YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원 찜하기 YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원 찜하기 YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원"
찜하기 YF 쏘나타 Y20 럭셔리,12/01식,98009,가솔린,서울,420,https://fem.encar.com/cars/detail/41265617?advClickPosition=mweb_mowoo_g1_t0&listAdvType=mowoo&type=detail&view_type=normal | https://fem.encar.com/cars/detail/41310694?advClickPosition=mweb_mowoo_g2_t0&listAdvType=mowoo&type=detail&view_type=normal | https://fem.encar.com/cars/detail/40955073?advClickPosition=mweb_mowoo_g3_t0&listAdvType=mowoo&type=detail&view_type=normal,"찜하기 YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원 찜하기 YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원 찜하기 YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원"
찜하기 YF 쏘나타 Y20 럭셔리,12/01식,98009,가솔린,경기,420,https://fem.encar.com/cars/detail/41265617?advClickPosition=mweb_mowoo_g1_t0&listAdvType=mowoo&type=detail&view_type=normal,"찜하기 YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원"
YF 쏘나타 Y20 럭셔리,12/01식,98009,가솔린,경기,420,,"YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원"
찜하기 YF 쏘나타 LPI 럭셔리,12/06식,143280,LPG,대전,390,https://fem.encar.com/cars/detail/41310694?advClickPosition=mweb_mowoo_g2_t0&listAdvType=mowoo&type=detail&view_type=normal,"찜하기 YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원"
YF 쏘나타 LPI 럭셔리,12/06식,143280,LPG,대전,390,,"YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원"
찜하기 YF 쏘나타 Y20 프라임 고급형,10/05식,136187,가솔린,서울,430,https://fem.encar.com/cars/detail/40955073?advClickPosition=mweb_mowoo_g3_t0&listAdvType=mowoo&type=detail&view_type=normal,"찜하기 YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원"
YF 쏘나타 Y20 프라임 고급형,10/05식,136187,가솔린,서울,430,,"YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원"
